TOKEN_NO	TOKEN	PREFIX	STEM	SUFFIX	STATUS
TOKEN_NO	TOKENS	-	TOKENS	-	Root word is not in the lexicon
2	ಹುಟಿತು	-	ಹುಟಿತು	-	Root word is not in the lexicon
3	ಏರಿತು	-	ಏರಿತು	-	Root word is not in the lexicon
5	ಕತ್ತಲಾಯಿತು	-	ಕತ್ತಲಾ	ಯಿತು	Root word is not in the lexicon
5	ಕತ್ತಲಾಯಿತು	-	ಕತ್ತಲಾ	ಯಿತು	Root word is not in the lexicon
5	ಕತ್ತಲಾಯಿತು	-	ಕತ್ತಲಾ	ಯಿತು	Root word is not in the lexicon
6	ತಿರುಗ	-	ತಿರುಗ	-	Root word is not in the lexicon
7	ಕಸ್ತೂರಿಯ	-	ಕಸ್ತೂರಿ	ಯ	Root word is not in the lexicon
7	ಕಸ್ತೂರಿಯ	-	ಕಸ್ತೂರಿ	ಯ	Root word is not in the lexicon
7	ಕಸ್ತೂರಿಯ	-	ಕಸ್ತೂರಿ	ಯ	Root word is not in the lexicon
8	ಮನಸು	-	ಮನಸು	-	Root word is not in the lexicon
9	ಮಾತರ	-	ಮಾತ	ರ	Root word is not in the lexicon
9	ಮಾತರ	-	ಮಾತ	ರ	Root word is not in the lexicon
9	ಮಾತರ	-	ಮಾತ	ರ	Root word is not in the lexicon
10	ಸೈರಣೆ	-	ಸೈರಣೆ	-	Root word is not in the lexicon
11	ಹೊಂದನಿಲ	-	ಹೊಂದನಿಲ	-	Root word is not in the lexicon
12	ಗುಡಿಸಲೊಳಗೆ	-	ಗುಡಿಸಲೊಳ	ಗೆ	Root word is not in the lexicon
12	ಗುಡಿಸಲೊಳಗೆ	-	ಗುಡಿಸಲೊಳ	ಗೆ	Root word is not in the lexicon
13	ಕುಂತು	ಕು	ಂತು	-	Root word is not in the lexicon
13	ಕುಂತು	ಕು	ಂತು	-	Root word is not in the lexicon
14	ಕಣ್ಣುಬುಟರೆ	-	ಕಣ್ಣುಬುಟರೆ	-	Root word is not in the lexicon
15	ಎದುರುಗಡೆಯೇ	-	ಎದುರುಗಡೆಯೇ	-	Root word is not in the lexicon
17	ಬಿಚ್ಚಿ	-	ಬಿಚ್ಚಿ	-	Root word is not in the lexicon
18	ಹಾಕಿರೊ	-	ಹಾಕಿರೊ	-	Root word is not in the lexicon
19	ಅಂಗಿ	ಅ	ಂಗಿ	-	Root word is not in the lexicon
19	ಅಂಗಿ	ಅ	ಂಗಿ	-	Root word is not in the lexicon
20	ಹಂಗೇ	-	ಹಂಗೇ	-	Root word is not in the lexicon
21	ಬಿದ್ದದೆ	-	ಬಿದ್ದದೆ	-	Root word is not in the lexicon
22	ಅದ	ಅ	ದ	-	Root word is not in the lexicon
22	ಅದ	ಅ	ದ	5,@,9	Root word is not in the lexicon
23	ಮುಟ್ಟಿದ	-	ಮುಟ್ಟಿ	ದ	Root word is not in the lexicon
23	ಮುಟ್ಟಿದ	-	ಮುಟ್ಟಿ	ದ	Root word is not in the lexicon
23	ಮುಟ್ಟಿದ	-	ಮುಟ್ಟಿ	ದ	Root word is not in the lexicon
23	ಮುಟ್ಟಿದ	-	ಮುಟ್ಟಿ	ದ	Root word is not in the lexicon
24	ಸವುರಿದ	-	ಸವುರಿ	ದ	Root word is not in the lexicon
24	ಸವುರಿದ	-	ಸವುರಿ	ದ	Root word is not in the lexicon
24	ಸವುರಿದ	-	ಸವುರಿ	ದ	Root word is not in the lexicon
24	ಸವುರಿದ	-	ಸವುರಿ	ದ	Root word is not in the lexicon
25	ತಾಳೋದಿಕಾಗದೆ	-	ತಾಳೋದಿಕಾಗದೆ	-	Root word is not in the lexicon
26	ಎತ್ತಿಕೊಂಡ	-	ಎತ್ತಿಕೊಂಡ	-	Root word is not in the lexicon
27	ತುಂಡು	-	ತುಂಡು	-	Root word is not in the lexicon
28	ಗೋಡೆಗೆ	-	ಗೋಡೆ	ಗೆ	Root word is not in the lexicon
28	ಗೋಡೆಗೆ	-	ಗೋಡೆ	ಗೆ	Root word is not in the lexicon
