WORD	GRAMMATICAL_CATEGORY	GENDER	PRESENT_TENSE_CATEGORY	FUTURE_TENSE_CATEGORY	PAST_TENSE_CATEGORY
ಅ	A				
ಅಂಕ	N	N	5		
ಅಂಗಜ 	N	M	1		
ಅಂಗಜ 	N	M	1			
ಅಂಗಲಾಚು  	V		1R	1F	9S
ಅಂಗವಿಸು  	V		1R	1F	9S
ಅಂಜಿಸು	V	 	1R	1F	7S
ಅಂಜು	V		1R	1F	7S
ಅಂಟು	V	 	1R	1F	9S
ಅಂತಪ್ಪ 	J				
ಅಂದು	A				
ಅಂಬರಚುಂಬಿ  	J				
ಅಕ್ಕ	N	F	4		
ಅಗಲು	V	 	1R	1F	6S
ಅಗಿ	V	 	2R	2F	9S
ಅಗೆ	V	 	2R	2F	9S
ಅಚಿಂತ್ಯ 	J				
ಅಚ್ಚಾಗು	V	 	1R	1F	9S
ಅಚ್ಚು	V	 	1R	1F	9S
ಅಟ್ಟಿ	V	 	1R	1F	9S
ಅಟ್ಟಿಸು	V	 	1R	1F	9S
ಅಟ್ಟು	V	 	1R	1F	9S
ಅಡಸು 	V		1R	1F	7S
ಅಡ್ಡಗಟ್ಟ	V	 	1R	1F	9S
ಅಡ್ಡಗಟ್ಟು	V	 	1R	1F	9S
ಅಡ್ಡಡು	V	 	1R	1F	9S
ಅಣಕಿಸು	V	 	1R	1F	9S
ಅದನ್ನು	A				
ಅದರು	V	 	1R	1F	9S
ಅದಲು	V	 	1R	1F	9S
ಅದಿಕರಿಸು	V		1R	1F	9S
ಅದು	A				
ಅದುಮು	V	 	1R	1F	9S
ಅದೃಶ್ಯ 	J				
ಅದೋಗತಿಗಿಳಿ	V	 	2R	2F	9S
ಅದ್ದು	V	 	1R	1F	9S
ಅದ್ದೂರಿ	N	N	6
ಅದ್ದೂರಿ	N	N	6		
ಅಧಿಕಾರತರು	V	 	1R	1F	9S
ಅನಭಿಷಿಕ್ತಾ 	J				
ಅನಿಲ  	N	N	5		
ಅನಿಸು	V	 	1R	1F	9S
ಅನುಕರಿಸು	V	 	1R	1F	9S
ಅನೇಕ	J				
ಅನ್ನಿಸು	V	 	1R	1F	9S
ಅನ್ನು	V	 	1R	1F	1S
ಅಪಾಯವಾದೀತು	D				
ಅಮುಕು	V	 	1R	1F	9S
ಅಮೃತ	N	X	5		
ಅರಗು	V	 	1R	1F	9S
ಅರಚು	V	 	1R	1F	9S
ಅರಳು	V	 	1R	1F	9S
ಅರಿ	V	 	2R	2F	9S
ಅರೆ	V	 	2R	2F	9S
ಅರೆದು	V	 	2R	2F	9S
ಅಲಗಿಸು	V	 	1R	1F	9S
ಅಲಿ	V	 	2R	2F	9S
ಅಲೆ	V	 	2R	2F	9S
ಅಲ್ಲಗಳೆ	V	 	2R	2F	9S
ಅಲ್ಲಾಡು	V	 	1R	1F	9S
ಅಲ್ಲಿ	A				
ಅಳಿಸು	V	 	1R	1F	9S
ಅಳು	V	 	1R	1F	4S
ಅಳು	V	 	1R	1F	6S
ಅಳುಕು	V	 	1R	1F	9S
ಅಳೆ	V	 	2R	2F	9S
ಅಳ್ಳಾಡು	V	 	1R	1F	9S
ಅವನ	N	M	1		
ಅವನ	N	M	6		
ಅವನನ್ನು	N	M	1		
ಅವನಿಗೆ	A				
ಅವನು	N	M	1		
ಅವನ್ನು	A				
ಅವನ್ನು	N	X	1		
ಅವನ್ನೆಲ್ಲ	A				
ಅವಳ	N	F	4		
ಅವು	A				
ಅಸುರ	N	M	1		
